Order ID,Order Date,Region,Category,Sub-Category,Customer Name,Quantity,Unit Price,Discount,Sales,Profit
ORD-10032,2023-04-03,West,Office Supplies,Binders,Ayesha Chaudhry,9,47.45,0.0,427.09,109.03
ORD-10033,2024-01-06,East,Technology,Copiers,Zainab Malik,10,394.43,0.2,3707.66,-430.0
ORD-10034,2023-08-09,Central,Office Supplies,Paper,Fatima Raza,12,60.83,0.0,730.01,139.47
ORD-10035,2024-10-08,East,Office Supplies,Storage,William Chaudhry,13,50.24,0.0,653.18,180.82
ORD-10036,2023-03-08,South,Technology,Machines,Mary Butt,8,5.0,0.3,36.4,-3.39
ORD-10037,2024-05-12,East,Technology,Copiers,James Raza,9,110.5,0.0,994.46,42.94
ORD-10038,2024-03-07,Central,Office Supplies,Labels,Mary Williams,6,54.9,0.3,299.75,26.07
ORD-10039,2023-06-11,East,Office Supplies,Labels,John Williams,10,5.0,0.3,45.5,2.2
ORD-10040,2023-01-22,West,Furniture,Bookcases,David Khan,8,22.57,0.0,180.54,6.92
ORD-10041,2023-12-02,South,Technology,Phones,Sara Sheikh,6,501.6,0.15,2874.18,199.41
ORD-10042,2023-03-11,South,Furniture,Tables,David Smith,12,299.67,0.0,3596.06,421.43
ORD-10043,2023-05-12,South,Furniture,Furnishings,David Garcia,8,119.23,0.0,953.82,12.43
ORD-10044,2024-05-15,West,Office Supplies,Labels,David Iqbal,12,34.24,0.1,398.5,80.48
ORD-10045,2023-01-11,West,Office Supplies,Labels,Elizabeth Ahmed,8,24.51,0.1,190.2,31.92
ORD-10046,2024-12-22,South,Office Supplies,Paper,Ali Brown,11,52.02,0.0,572.2,103.81
ORD-10047,2023-12-23,West,Technology,Phones,James Garcia,5,338.71,0.15,1617.34,93.92
ORD-10048,2024-10-14,Central,Office Supplies,Paper,Michael Iqbal,5,5.0,0.0,25.0,3.45
ORD-10049,2023-11-08,West,Office Supplies,Storage,Zainab Khan,10,47.53,0.4,418.3,13.25
ORD-10050,2024-06-14,Central,Office Supplies,Labels,David Davis,7,7.79,0.1,52.9,11.46
ORD-10051,2023-11-05,East,Technology,Machines,James Iqbal,3,412.05,0.3,1124.9,18.24
ORD-10052,2024-08-06,East,Technology,Phones,Ali Johnson,7,562.53,0.1,3819.59,284.45
ORD-10053,2023-04-29,East,Technology,Accessories,Mary Butt,3,437.79,0.4,1155.77,-104.21
ORD-10054,2024-04-30,South,Technology,Phones,Jennifer Chaudhry,6,484.47,0.2,2732.4,-186.37
ORD-10055,2023-01-17,East,Technology,Machines,Jennifer Brown,11,526.13,0.0,5787.38,1334.8
ORD-10056,2023-03-20,West,Furniture,Chairs,Jennifer Garcia,5,299.78,0.15,1431.43,-57.17
ORD-10057,2024-10-26,Central,Office Supplies,Art,Ahmed Chaudhry,12,30.74,0.15,352.28,50.75
ORD-10058,2023-11-04,West,Office Supplies,Paper,John Butt,11,67.37,0.1,718.88,135.05
ORD-10059,2024-09-29,South,Furniture,Tables,Linda Davis,4,243.76,0.0,975.03,41.36
ORD-10060,2024-12-29,South,Furniture,Tables,Zainab Johnson,10,224.47,0.0,2244.67,59.02
ORD-10061,2023-04-12,South,Technology,Phones,Michael Iqbal,6,532.86,0.15,3053.31,412.13
ORD-10062,2023-01-19,East,Furniture,Furnishings,Ali Ahmed,8,340.86,0.3,2481.44,-226.17
ORD-10063,2023-10-06,South,Technology,Machines,David Raza,9,288.22,0.1,2516.13,39.19
ORD-10064,2024-09-18,South,Furniture,Furnishings,Mary Smith,8,240.25,0.3,1749.0,-44.16
ORD-10065,2024-09-23,East,Office Supplies,Art,Michael Williams,13,43.02,0.1,542.46,85.06
ORD-10066,2023-04-19,East,Furniture,Chairs,William Chaudhry,6,246.88,0.15,1414.6,50.33
ORD-10067,2023-04-16,Central,Office Supplies,Storage,Robert Garcia,13,63.89,0.0,830.57,143.72
ORD-10068,2023-11-22,Central,Technology,Copiers,Zainab Williams,10,389.98,0.1,3782.77,48.92
ORD-10069,2023-10-10,Central,Furniture,Bookcases,Mary Miller,6,373.1,0.0,2238.59,-23.75
ORD-10070,2024-01-22,East,Technology,Phones,Ayesha Sheikh,4,501.04,0.2,1883.91,98.86
ORD-10071,2024-06-29,South,Office Supplies,Art,Hassan Malik,8,21.2,0.2,159.43,18.41
ORD-10072,2024-02-17,East,Office Supplies,Binders,Zainab Brown,8,11.5,0.0,92.04,13.73
ORD-10073,2023-09-19,East,Furniture,Furnishings,Michael Williams,12,106.11,0.3,1158.7,-156.72
ORD-10074,2023-07-06,Central,Office Supplies,Art,Elizabeth Williams,9,34.97,0.0,314.71,40.93
ORD-10075,2023-05-02,Central,Furniture,Furnishings,Ahmed Brown,8,331.36,0.3,2412.28,-170.36
ORD-10076,2023-04-15,Central,Office Supplies,Labels,Zainab Ahmed,7,33.97,0.15,227.08,32.99
ORD-10077,2023-10-05,South,Technology,Copiers,William Raza,5,193.7,0.15,924.9,44.57
ORD-10078,2023-12-08,West,Technology,Machines,Ahmed Garcia,9,304.52,0.2,2576.2,-36.26
ORD-10079,2024-09-06,Central,Furniture,Bookcases,Hassan Malik,13,345.85,0.3,4091.43,-708.82
ORD-10080,2024-07-16,West,Office Supplies,Paper,John Iqbal,11,43.06,0.4,416.83,-15.17
ORD-10081,2024-04-22,Central,Office Supplies,Storage,Robert Ahmed,13,35.8,0.1,451.44,34.17
ORD-10082,2024-11-28,East,Office Supplies,Storage,Michael Iqbal,12,46.79,0.15,536.19,76.04
ORD-10083,2024-10-17,West,Technology,Machines,Patricia Garcia,3,528.95,0.0,1586.86,218.96
ORD-10084,2023-12-02,East,Furniture,Tables,James Miller,4,303.63,0.1,1178.1,6.83
ORD-10085,2023-02-15,West,Technology,Accessories,Michael Iqbal,8,567.56,0.4,3995.6,-253.21
ORD-10086,2024-05-21,West,Office Supplies,Labels,David Raza,13,57.82,0.1,729.15,118.27
ORD-10087,2024-09-14,Central,Furniture,Furnishings,Zainab Khan,5,204.84,0.2,962.74,9.81
ORD-10088,2024-06-06,South,Office Supplies,Art,Barbara Chaudhry,6,26.47,0.3,144.52,6.79
ORD-10089,2023-10-22,Central,Furniture,Bookcases,Elizabeth Raza,6,189.23,0.15,1084.29,-7.68
ORD-10090,2024-03-14,Central,Technology,Phones,James Chaudhry,13,477.38,0.15,5926.65,87.06
ORD-10091,2023-02-15,South,Office Supplies,Storage,Linda Garcia,12,41.86,0.0,502.32,136.86
ORD-10092,2023-05-07,East,Office Supplies,Labels,James Jones,6,58.5,0.1,340.45,26.89
ORD-10093,2023-11-11,East,Technology,Phones,Hassan Khan,12,300.84,0.0,3610.09,509.75
ORD-10094,2024-12-02,West,Office Supplies,Labels,Robert Ahmed,11,8.99,0.2,92.94,11.02
ORD-10095,2023-01-28,West,Technology,Machines,Ali Malik,1,466.58,0.4,410.59,-64.9
ORD-10096,2023-12-22,West,Technology,Copiers,Mary Ahmed,1,301.72,0.3,274.56,20.53
ORD-10097,2023-10-29,Central,Technology,Copiers,Ahmed Iqbal,9,367.06,0.1,3204.43,477.07
ORD-10098,2024-01-25,South,Furniture,Chairs,Jennifer Jones,10,121.18,0.0,1211.83,63.09
ORD-10099,2024-06-13,South,Office Supplies,Art,David Davis,1,5.0,0.1,4.85,0.67
ORD-10100,2024-05-19,East,Furniture,Furnishings,Sara Khan,9,455.83,0.3,3733.26,52.09
ORD-10101,2024-02-18,East,Furniture,Chairs,Zainab Iqbal,9,327.55,0.2,2771.05,-218.12
ORD-10102,2024-08-29,Central,Furniture,Bookcases,Ali Iqbal,6,250.97,0.1,1460.67,55.01
ORD-10103,2024-05-21,Central,Technology,Machines,John Williams,8,401.92,0.0,3215.38,347.21
ORD-10104,2023-02-03,South,Furniture,Chairs,Ahmed Iqbal,3,144.47,0.0,433.42,62.37
ORD-10105,2023-04-04,Central,Office Supplies,Paper,Omar Chaudhry,2,45.72,0.0,91.43,14.5
ORD-10106,2024-07-28,Central,Furniture,Chairs,Elizabeth Smith,7,164.19,0.0,1149.34,156.62
ORD-10107,2023-02-14,Central,Technology,Machines,Robert Raza,12,146.71,0.0,1760.56,101.16
ORD-10108,2023-01-30,Central,Office Supplies,Art,Linda Jones,4,13.16,0.2,49.49,2.9
ORD-10109,2023-08-20,South,Furniture,Bookcases,David Smith,7,190.45,0.1,1293.15,38.34
ORD-10110,2024-04-01,West,Technology,Copiers,Jennifer Johnson,13,283.5,0.2,3464.37,15.55
ORD-10111,2024-10-11,West,Technology,Phones,John Williams,5,186.37,0.2,875.95,-35.97
ORD-10112,2023-07-31,South,Furniture,Tables,Sara Sheikh,3,191.47,0.0,574.4,47.52
ORD-10113,2024-07-13,Central,Technology,Phones,John Jones,3,334.44,0.3,913.02,14.76
ORD-10114,2024-11-19,Central,Furniture,Chairs,Sara Malik,7,259.64,0.2,1708.43,-101.29
ORD-10115,2023-03-08,West,Technology,Copiers,Linda Davis,6,234.76,0.0,1408.55,103.86
ORD-10116,2023-05-28,East,Office Supplies,Binders,Mary Johnson,1,34.98,0.0,34.98,5.86
ORD-10117,2023-10-07,East,Office Supplies,Paper,Patricia Miller,2,47.71,0.1,92.55,11.72
ORD-10118,2023-05-30,Central,Office Supplies,Art,William Khan,9,60.3,0.15,518.32,57.59
ORD-10119,2023-11-08,West,Technology,Phones,Barbara Malik,3,266.23,0.1,774.73,47.96
ORD-10120,2024-09-18,East,Technology,Machines,Ayesha Ahmed,12,647.62,0.0,7771.44,628.78
ORD-10121,2023-03-04,East,Office Supplies,Labels,David Garcia,6,37.15,0.0,222.91,48.75
ORD-10122,2024-07-17,Central,Furniture,Tables,Jennifer Williams,13,320.8,0.1,4045.28,-85.78
ORD-10123,2023-11-03,South,Office Supplies,Art,Hassan Khan,7,50.29,0.0,352.03,63.98
ORD-10124,2023-11-21,East,Technology,Machines,Patricia Williams,6,397.7,0.1,2314.64,184.86
ORD-10125,2023-02-08,West,Furniture,Furnishings,Sara Chaudhry,5,266.24,0.0,1331.21,59.05
ORD-10126,2023-11-05,Central,Technology,Phones,Robert Jones,9,725.9,0.2,6141.14,-404.9
ORD-10127,2024-09-18,West,Furniture,Chairs,Ali Smith,4,199.59,0.0,798.37,75.45
ORD-10128,2024-02-19,West,Technology,Copiers,Linda Garcia,11,638.71,0.0,7025.82,1292.14
ORD-10129,2023-10-25,West,Office Supplies,Binders,Zainab Williams,12,34.09,0.3,372.25,29.58
ORD-10130,2024-05-24,East,Furniture,Furnishings,William Khan,5,192.74,0.2,905.9,-119.46
ORD-10131,2023-07-11,South,Furniture,Furnishings,Zainab Iqbal,7,314.66,0.2,2070.44,-127.3
ORD-10132,2024-04-18,South,Office Supplies,Paper,John Ahmed,2,30.35,0.0,60.7,11.3
ORD-10133,2023-12-24,West,Furniture,Furnishings,James Iqbal,3,200.86,0.1,584.5,41.24
ORD-10134,2024-02-13,South,Technology,Copiers,Zainab Ahmed,3,206.62,0.0,619.85,97.73
ORD-10135,2023-06-22,East,Furniture,Bookcases,Jennifer Butt,8,103.58,0.2,778.93,15.23
ORD-10136,2024-06-08,East,Technology,Phones,Ayesha Chaudhry,2,613.58,0.15,1171.93,132.72
ORD-10137,2023-12-11,West,Office Supplies,Labels,James Brown,7,38.62,0.15,258.17,28.29
ORD-10138,2023-02-13,Central,Office Supplies,Art,Jennifer Smith,6,9.49,0.3,51.84,2.47
ORD-10139,2023-08-22,South,Furniture,Tables,Michael Jones,2,316.25,0.0,632.51,76.3
ORD-10140,2024-02-14,Central,Office Supplies,Binders,Linda Williams,2,74.05,0.1,143.66,8.41
ORD-10141,2023-11-18,East,Furniture,Furnishings,Omar Raza,1,198.7,0.0,198.7,10.97
ORD-10142,2023-05-13,East,Office Supplies,Storage,David Smith,1,22.19,0.1,21.53,4.48
ORD-10143,2023-06-13,South,Furniture,Furnishings,Robert Chaudhry,9,229.49,0.0,2065.4,75.67
ORD-10144,2023-09-27,West,Office Supplies,Labels,Fatima Miller,4,58.1,0.1,225.41,52.87
ORD-10145,2024-08-24,East,Office Supplies,Storage,James Sheikh,2,45.44,0.0,90.87,16.6
ORD-10146,2023-09-15,South,Furniture,Tables,Omar Ahmed,2,172.12,0.1,333.91,25.2
ORD-10147,2023-09-30,West,Office Supplies,Storage,James Khan,9,63.59,0.0,572.32,102.59
ORD-10148,2024-01-26,Central,Furniture,Chairs,Hassan Davis,4,409.65,0.1,1589.45,-115.77
ORD-10149,2023-09-08,East,Furniture,Bookcases,Sara Johnson,6,221.77,0.15,1270.74,-74.0
ORD-10150,2023-11-20,Central,Office Supplies,Labels,David Butt,13,46.23,0.1,582.91,83.14
ORD-10151,2024-04-17,West,Office Supplies,Binders,James Jones,7,58.31,0.0,408.14,86.83
ORD-10152,2024-04-25,South,Furniture,Bookcases,James Khan,6,152.41,0.0,914.47,-7.39
ORD-10153,2023-08-19,West,Office Supplies,Art,Hassan Malik,8,25.74,0.0,205.88,40.66
ORD-10154,2023-01-13,Central,Office Supplies,Binders,Hassan Smith,2,19.48,0.15,37.2,7.3
ORD-10155,2024-06-12,West,Office Supplies,Art,Elizabeth Jones,2,30.09,0.4,52.96,4.88
ORD-10156,2023-04-07,Central,Office Supplies,Art,James Ahmed,4,27.75,0.2,104.35,9.71
ORD-10157,2023-02-01,East,Furniture,Furnishings,Elizabeth Butt,9,324.14,0.3,2654.72,-105.87
ORD-10158,2024-09-22,West,Furniture,Chairs,Michael Smith,5,319.58,0.0,1597.9,155.15
ORD-10159,2024-04-21,West,Office Supplies,Paper,Patricia Raza,11,47.61,0.15,500.15,82.74
ORD-10160,2024-08-22,East,Technology,Phones,Linda Jones,2,310.89,0.0,621.79,83.11
ORD-10161,2024-09-20,South,Furniture,Bookcases,Fatima Johnson,3,55.67,0.0,167.0,27.35
ORD-10162,2023-04-29,East,Technology,Accessories,Elizabeth Raza,7,410.83,0.3,2616.96,-287.78
ORD-10163,2023-04-12,West,Office Supplies,Binders,Elizabeth Davis,12,22.99,0.0,275.85,48.33
ORD-10164,2023-09-05,West,Office Supplies,Paper,Sara Davis,3,5.0,0.0,15.0,5.12
ORD-10165,2023-05-12,West,Furniture,Chairs,Ayesha Jones,4,360.08,0.1,1397.1,-61.84
ORD-10166,2024-07-07,South,Office Supplies,Art,Mary Miller,6,69.54,0.1,404.74,87.18
ORD-10167,2024-05-01,Central,Technology,Copiers,Michael Miller,4,397.71,0.0,1590.82,241.97
ORD-10168,2023-01-31,South,Office Supplies,Storage,Linda Smith,8,51.57,0.2,387.8,28.39
ORD-10169,2024-07-31,Central,Technology,Machines,Omar Miller,7,426.55,0.0,2985.82,423.6
ORD-10170,2024-10-03,West,Technology,Copiers,Fatima Butt,8,341.24,0.0,2729.92,408.28
ORD-10171,2023-12-08,Central,Office Supplies,Art,Barbara Butt,13,20.07,0.0,260.96,64.76
ORD-10172,2024-07-08,South,Office Supplies,Paper,Fatima Raza,4,35.12,0.1,136.27,7.75
ORD-10173,2024-05-16,East,Technology,Machines,Sara Raza,1,559.35,0.0,559.35,48.24
ORD-10174,2023-06-26,West,Office Supplies,Art,David Garcia,4,40.75,0.0,163.01,43.31
ORD-10175,2023-07-17,Central,Technology,Phones,Elizabeth Garcia,12,286.73,0.1,3337.55,258.36
ORD-10176,2023-09-30,South,Office Supplies,Binders,James Johnson,4,31.05,0.3,113.01,4.1
ORD-10177,2023-04-23,West,Office Supplies,Art,Jennifer Malik,2,52.43,0.15,100.14,8.31
ORD-10178,2024-11-06,East,Office Supplies,Paper,William Iqbal,10,62.44,0.2,586.9,61.05
ORD-10179,2024-09-14,West,Office Supplies,Binders,Elizabeth Garcia,2,23.16,0.0,46.33,11.01
ORD-10180,2023-06-13,South,Furniture,Tables,William Johnson,5,378.49,0.0,1892.43,-11.56
ORD-10181,2023-07-29,Central,Office Supplies,Paper,Mary Williams,11,39.77,0.0,437.51,59.44
ORD-10182,2024-11-13,Central,Office Supplies,Paper,James Brown,3,56.89,0.15,162.98,6.15
ORD-10183,2023-04-15,West,Technology,Phones,Ayesha Iqbal,7,315.63,0.0,2209.41,293.32
ORD-10184,2024-09-27,East,Furniture,Chairs,Hassan Sheikh,9,328.2,0.15,2820.92,69.27
ORD-10185,2023-10-24,Central,Technology,Phones,Ayesha Butt,9,170.81,0.0,1537.33,139.51
ORD-10186,2023-08-31,East,Furniture,Chairs,Linda Jones,7,253.6,0.1,1721.96,66.66
ORD-10187,2023-08-15,East,Office Supplies,Storage,Ahmed Malik,7,39.78,0.15,265.93,16.12
ORD-10188,2023-09-28,South,Technology,Accessories,Ali Iqbal,2,5.0,0.2,9.4,0.07
ORD-10189,2024-07-23,Central,Furniture,Tables,James Butt,5,230.75,0.1,1119.12,82.11
ORD-10190,2023-12-10,East,Technology,Machines,Barbara Khan,4,471.91,0.1,1831.02,74.34
ORD-10191,2023-05-02,Central,Technology,Phones,Barbara Garcia,2,116.73,0.0,233.47,15.08
ORD-10192,2024-04-16,Central,Office Supplies,Storage,Michael Williams,5,27.76,0.3,126.3,14.02
ORD-10193,2024-09-19,Central,Office Supplies,Storage,Patricia Jones,8,48.21,0.3,350.99,53.3
ORD-10194,2024-07-21,West,Office Supplies,Paper,James Ahmed,7,23.88,0.2,157.13,8.08
ORD-10195,2024-04-21,West,Technology,Accessories,Ali Ahmed,2,342.4,0.0,684.8,34.48
ORD-10196,2023-05-01,West,Technology,Copiers,Fatima Smith,10,442.14,0.15,4222.4,117.66
ORD-10197,2023-03-02,Central,Office Supplies,Paper,Robert Brown,13,54.64,0.2,667.74,51.22
ORD-10198,2024-05-18,Central,Technology,Machines,Ali Chaudhry,9,463.44,0.15,3983.29,459.59
ORD-10199,2023-06-14,Central,Furniture,Tables,Jennifer Johnson,6,139.98,0.0,839.86,77.29
ORD-10200,2024-11-01,West,Furniture,Furnishings,Ali Jones,13,153.59,0.1,1936.83,164.4
ORD-10201,2024-08-11,East,Technology,Accessories,Robert Chaudhry,7,637.21,0.0,4460.5,545.74
ORD-10202,2023-12-09,West,Office Supplies,Binders,Jennifer Ahmed,2,37.15,0.0,74.3,13.91
ORD-10203,2024-09-26,Central,Furniture,Furnishings,William Johnson,13,197.8,0.15,2455.74,-238.76
ORD-10204,2024-01-19,West,Office Supplies,Storage,Omar Johnson,7,59.45,0.0,416.18,99.43
ORD-10205,2023-04-14,East,Furniture,Bookcases,Hassan Davis,3,366.48,0.15,1049.96,38.74
ORD-10206,2023-04-06,South,Technology,Phones,Ali Garcia,11,60.71,0.0,667.8,64.95
ORD-10207,2024-10-23,East,Office Supplies,Art,Mary Johnson,10,46.57,0.1,451.71,94.12
ORD-10208,2023-06-23,East,Office Supplies,Storage,David Sheikh,4,56.46,0.2,212.29,15.11
ORD-10209,2024-12-02,West,Furniture,Chairs,David Garcia,10,318.16,0.1,3086.2,80.24
ORD-10210,2023-04-08,Central,Technology,Phones,Sara Butt,4,5.0,0.3,18.2,1.64
ORD-10211,2023-07-12,Central,Furniture,Bookcases,Mary Miller,2,306.9,0.0,613.79,-1.94
ORD-10212,2024-10-23,West,Technology,Copiers,John Iqbal,3,353.05,0.4,932.05,-77.32
ORD-10213,2024-05-22,Central,Office Supplies,Labels,Michael Raza,3,55.16,0.3,150.58,-7.22
ORD-10214,2024-11-19,South,Technology,Phones,Patricia Khan,10,614.61,0.0,6146.13,937.14
ORD-10215,2024-02-01,East,Office Supplies,Paper,Ahmed Davis,5,27.57,0.4,121.32,8.94
ORD-10216,2024-06-24,Central,Technology,Accessories,Fatima Garcia,9,106.87,0.0,961.85,103.28
ORD-10217,2024-02-02,South,Technology,Machines,Ahmed Smith,13,251.69,0.2,3075.67,-19.66
ORD-10218,2023-08-09,Central,Furniture,Tables,Jennifer Jones,2,222.14,0.2,417.62,-31.21
ORD-10219,2023-09-01,West,Technology,Phones,David Johnson,5,218.02,0.0,1090.08,136.52
ORD-10220,2023-03-12,West,Furniture,Furnishings,David Miller,10,147.38,0.0,1473.81,75.36
ORD-10221,2024-07-28,East,Technology,Copiers,David Raza,12,122.94,0.15,1408.89,21.5
ORD-10222,2023-06-26,South,Furniture,Furnishings,Robert Davis,13,371.13,0.0,4824.7,251.93
ORD-10223,2024-02-26,East,Technology,Accessories,Barbara Ahmed,13,243.68,0.3,2882.77,100.83
ORD-10224,2023-11-14,Central,Furniture,Chairs,Michael Miller,9,198.99,0.15,1710.33,-141.33
ORD-10225,2024-04-21,South,Office Supplies,Paper,James Garcia,9,36.97,0.4,292.78,-1.1
ORD-10226,2023-06-13,East,Office Supplies,Paper,Omar Sheikh,6,43.82,0.1,255.02,63.34
ORD-10227,2024-02-29,South,Office Supplies,Art,Ayesha Malik,5,13.82,0.2,64.94,6.0
ORD-10228,2023-10-07,West,Office Supplies,Binders,Ahmed Chaudhry,13,64.01,0.2,782.25,46.25
ORD-10229,2024-09-08,Central,Technology,Copiers,Ahmed Khan,2,500.19,0.15,955.36,18.28
ORD-10230,2023-07-08,West,Furniture,Furnishings,Mary Butt,12,310.8,0.0,3729.62,-255.77
ORD-10231,2023-06-23,East,Office Supplies,Labels,Sara Chaudhry,7,74.74,0.3,476.07,40.92
ORD-10232,2023-05-26,West,Office Supplies,Art,John Williams,10,19.06,0.2,179.21,5.16
ORD-10233,2023-10-20,East,Technology,Accessories,William Malik,5,440.7,0.2,2071.3,71.16
ORD-10234,2023-10-12,West,Office Supplies,Art,Omar Johnson,6,11.9,0.0,71.41,16.69
ORD-10235,2023-08-21,Central,Office Supplies,Paper,Barbara Malik,2,63.79,0.0,127.58,28.41
ORD-10236,2023-05-16,East,Office Supplies,Storage,Sara Khan,2,37.12,0.3,67.56,9.1
ORD-10237,2023-12-31,West,Technology,Copiers,Mary Khan,11,289.05,0.0,3179.53,586.56
ORD-10238,2024-08-29,East,Technology,Copiers,Zainab Jones,2,241.9,0.0,483.79,88.49
ORD-10239,2023-05-16,Central,Technology,Copiers,Jennifer Ahmed,5,539.13,0.0,2695.66,473.15
ORD-10240,2024-08-25,East,Technology,Copiers,Omar Iqbal,1,420.92,0.2,395.66,53.16
ORD-10241,2024-07-22,East,Technology,Accessories,Ayesha Sheikh,5,516.34,0.0,2581.7,172.05
ORD-10242,2023-04-30,Central,Technology,Machines,Fatima Raza,3,341.07,0.1,992.51,95.32
ORD-10243,2023-02-24,South,Furniture,Bookcases,Zainab Garcia,11,340.3,0.0,3743.34,329.87
ORD-10244,2024-01-22,West,Office Supplies,Binders,Ayesha Ahmed,5,52.15,0.0,260.76,70.99
ORD-10245,2023-06-30,Central,Furniture,Chairs,Mary Davis,10,229.91,0.0,2299.1,332.85
ORD-10246,2023-06-05,South,Office Supplies,Labels,Jennifer Smith,11,45.32,0.2,468.62,41.9
ORD-10247,2024-02-12,South,Office Supplies,Labels,Robert Smith,9,29.19,0.4,231.16,6.31
ORD-10248,2024-03-27,East,Technology,Accessories,Ali Miller,7,613.51,0.0,4294.6,482.26
ORD-10249,2024-12-11,West,Technology,Copiers,Robert Iqbal,13,279.29,0.1,3521.83,477.94
ORD-10250,2023-01-11,South,Furniture,Chairs,Ahmed Jones,7,275.27,0.0,1926.87,57.23
ORD-10251,2023-04-05,East,Office Supplies,Binders,Robert Khan,4,31.35,0.15,119.74,14.88
ORD-10252,2023-09-20,East,Office Supplies,Paper,Ali Davis,2,66.55,0.1,129.1,16.42
ORD-10253,2024-02-13,South,Technology,Copiers,James Smith,5,265.12,0.3,1206.28,-6.01
ORD-10254,2023-05-06,South,Office Supplies,Storage,Barbara Ahmed,6,25.28,0.0,151.69,20.01
ORD-10255,2023-11-08,East,Technology,Phones,Ayesha Sheikh,9,543.1,0.1,4741.25,471.17
ORD-10256,2024-11-03,East,Technology,Accessories,David Smith,5,582.63,0.0,2913.15,338.38
ORD-10257,2024-11-10,Central,Technology,Phones,Omar Butt,3,245.5,0.1,714.41,37.76
ORD-10258,2024-02-25,South,Office Supplies,Binders,James Miller,1,29.91,0.0,29.91,8.12
ORD-10259,2023-04-05,West,Furniture,Chairs,James Williams,6,462.44,0.0,2774.63,91.98
ORD-10260,2023-08-10,Central,Office Supplies,Labels,Michael Garcia,9,32.64,0.0,293.8,62.91
ORD-10261,2023-07-14,East,Office Supplies,Binders,Mary Ahmed,10,49.22,0.0,492.16,78.09
ORD-10262,2024-08-18,West,Technology,Phones,Ali Iqbal,6,147.3,0.1,857.29,82.66
